iter	Passed	Remaining
0	28	5625
1	58	5816
2	85	5586
3	112	5522
4	146	5717
5	177	5752
6	216	5971
7	249	5989
8	275	5852
9	302	5740
10	334	5754
11	371	5817
12	417	6011
13	464	6175
14	510	6290
15	545	6269
16	593	6385
17	641	6483
18	686	6541
19	723	6515
20	751	6406
21	785	6351
22	823	6335
23	859	6303
24	890	6232
25	916	6135
26	942	6041
27	969	5955
28	1002	5910
29	1037	5881
30	1069	5830
31	1107	5816
32	1133	5737
33	1163	5682
34	1208	5699
35	1260	5742
36	1306	5755
37	1346	5739
38	1389	5735
39	1426	5706
40	1466	5687
41	1502	5650
42	1539	5620
43	1571	5570
44	1616	5567
45	1649	5520
46	1692	5509
47	1724	5461
48	1756	5412
49	1784	5352
50	1811	5292
51	1837	5230
52	1876	5204
53	1906	5153
54	1931	5092
55	1960	5041
56	1986	4984
57	2020	4946
58	2062	4928
59	2110	4924
60	2170	4945
61	2218	4939
62	2259	4914
63	2307	4902
64	2355	4891
65	2399	4871
66	2437	4839
67	2483	4821
68	2536	4814
69	2616	4859
70	2667	4847
71	2714	4826
72	2768	4815
73	2821	4804
74	2869	4782
75	2911	4750
76	2938	4694
77	2965	4638
78	2994	4586
79	3047	4571
80	3085	4532
81	3113	4480
82	3139	4426
83	3167	4373
84	3202	4332
85	3242	4298
86	3275	4254
87	3303	4203
88	3328	4151
89	3362	4109
90	3395	4067
91	3424	4020
92	3454	3974
93	3509	3957
94	3562	3937
95	3618	3920
96	3652	3878
97	3687	3837
98	3726	3801
99	3768	3768
100	3811	3736
101	3846	3695
102	3881	3655
103	3911	3610
104	3961	3584
105	4039	3582
106	4112	3574
107	4156	3540
108	4200	3506
109	4243	3471
110	4292	3441
111	4341	3411
112	4371	3365
113	4397	3317
114	4429	3274
115	4472	3238
116	4539	3220
117	4593	3191
118	4627	3150
119	4663	3108
120	4696	3066
121	4737	3028
122	4785	2995
123	4829	2960
124	4869	2921
125	4901	2878
126	4931	2834
127	4967	2794
128	5011	2758
129	5066	2728
130	5121	2697
131	5160	2658
132	5200	2619
133	5237	2579
134	5276	2540
135	5308	2498
136	5340	2455
137	5368	2411
138	5406	2372
139	5457	2338
140	5509	2305
141	5556	2269
142	5607	2235
143	5670	2205
144	5728	2172
145	5767	2133
146	5800	2091
147	5826	2047
148	5852	2003
149	5886	1962
150	5919	1921
151	5985	1890
152	6032	1853
153	6071	1813
154	6118	1776
155	6154	1735
156	6184	1693
157	6211	1651
158	6236	1608
159	6263	1565
160	6304	1527
161	6335	1486
162	6366	1445
163	6401	1405
164	6459	1370
165	6514	1334
166	6567	1297
167	6608	1258
168	6642	1218
169	6676	1178
170	6722	1140
171	6760	1100
172	6803	1061
173	6836	1021
174	6869	981
175	6903	941
176	6958	904
177	7005	865
178	7048	826
179	7088	787
180	7126	748
181	7173	709
182	7224	671
183	7266	631
184	7293	591
185	7335	552
186	7372	512
187	7424	473
188	7478	435
189	7517	395
190	7558	356
191	7591	316
192	7632	276
193	7686	237
194	7726	198
195	7753	158
196	7779	118
197	7816	78
198	7848	39
199	7879	0
