index,pred,opt_pred
0,0.04,65.73
1,0.04,65.60
2,0.04,65.71
3,0.04,65.85
4,0.01,100.00
5,0.01,100.00
6,0.01,100.00
7,0.04,65.84
8,0.04,65.49
9,0.01,100.00
10,0.05,0.00
11,0.01,100.00
12,0.05,0.00
13,0.04,65.88
14,0.01,100.00
15,0.02,100.00
16,0.01,100.00
17,0.02,100.00
18,0.04,65.61
19,0.04,65.78
20,0.01,100.00
21,0.01,100.00
22,0.04,65.74
23,0.01,100.00
24,0.04,65.69
25,0.02,100.00
26,0.01,100.00
27,0.02,100.00
28,0.04,65.92
29,0.02,100.00
30,0.04,65.52
31,0.04,65.59
32,0.04,65.61
33,0.04,65.12
34,0.01,100.00
35,0.04,65.40
36,0.04,65.91
37,0.01,100.00
38,0.01,100.00
39,0.02,100.00
40,0.04,65.61
41,0.01,100.00
42,0.01,100.00
43,0.04,65.59
44,0.04,67.04
45,0.01,100.00
46,0.04,65.61
47,0.00,100.00
48,0.00,100.00
49,0.02,100.00
50,0.04,65.59
51,0.04,64.62
52,0.01,100.00
53,0.04,67.05
54,0.02,100.00
55,0.01,100.00
56,0.01,100.00
57,0.01,100.00
58,0.03,100.00
59,0.04,65.08
60,0.01,100.00
61,0.04,65.59
62,0.01,100.00
63,0.01,100.00
64,0.01,100.00
65,0.04,64.57
66,0.04,61.72
67,0.01,100.00
68,0.04,61.75
69,0.04,62.13
70,0.04,61.43
71,0.01,100.00
72,0.01,100.00
73,0.01,100.00
74,0.04,60.29
75,0.04,61.75
76,0.02,100.00
77,0.04,62.49
78,0.00,100.00
79,0.01,100.00
80,0.04,61.12
81,0.04,61.45
82,0.04,62.43
83,0.01,100.00
84,0.01,100.00
85,0.01,100.00
86,0.04,61.45
87,0.03,100.00
88,0.01,100.00
89,0.04,63.05
90,0.04,63.22
91,0.01,100.00
92,0.02,100.00
93,0.03,100.00
94,0.04,61.75
95,0.02,100.00
96,0.02,100.00
97,0.02,100.00
98,0.01,100.00
99,0.02,100.00
100,0.04,61.10
101,0.02,100.00
102,0.01,100.00
103,0.04,62.92
104,0.03,100.00
105,0.02,100.00
106,0.01,100.00
107,0.01,100.00
108,0.02,100.00
109,0.03,100.00
110,0.04,61.77
111,0.02,100.00
112,0.01,100.00
113,0.05,0.00
114,0.04,60.47
115,0.01,100.00
116,0.05,0.00
117,0.03,100.00
118,0.01,100.00
119,0.01,100.00
120,0.01,100.00
121,0.04,61.04
122,0.01,100.00
123,0.01,100.00
124,0.02,100.00
125,0.02,100.00
126,0.01,100.00
127,0.01,100.00
128,0.03,100.00
129,0.02,100.00
130,0.02,100.00
131,0.04,61.32
132,0.02,100.00
133,0.01,100.00
134,0.04,61.05
135,0.01,100.00
136,0.02,100.00
137,0.04,61.16
138,0.01,100.00
139,0.03,100.00
140,0.02,100.00
141,0.02,100.00
142,0.01,100.00
143,0.01,100.00
144,0.04,62.44
145,0.04,61.40
146,0.04,59.75
147,0.02,100.00
148,0.01,100.00
149,0.02,100.00
150,0.02,100.00
151,0.06,0.00
152,0.04,61.35
153,0.01,100.00
154,0.04,61.42
155,0.01,100.00
156,0.01,100.00
157,0.02,100.00
158,0.02,100.00
159,0.03,100.00
160,0.04,62.64
161,0.04,61.16
162,0.01,100.00
163,0.01,100.00
164,0.02,100.00
165,0.04,61.26
166,0.02,100.00
167,0.02,100.00
168,0.04,61.39
169,0.02,100.00
170,0.04,61.35
171,0.04,59.92
172,0.02,100.00
173,0.01,100.00
174,0.03,100.00
175,0.01,100.00
176,0.04,61.13
177,0.04,60.02
178,0.02,100.00
179,0.04,60.33
180,0.01,100.00
181,0.02,100.00
182,0.03,100.00
183,0.04,60.20
184,0.04,60.31
185,0.02,100.00
186,0.03,100.00
187,0.01,100.00
188,0.03,100.00
189,0.03,100.00
190,0.01,100.00
191,0.01,100.00
192,0.01,100.00
193,0.05,0.00
194,0.03,100.00
195,0.01,100.00
196,0.05,0.00
197,0.01,100.00
198,0.04,61.17
199,0.10,0.00
200,0.04,61.31
201,0.01,100.00
202,0.02,100.00
203,0.02,100.00
204,0.02,100.00
205,0.02,100.00
206,0.01,100.00
207,0.03,100.00
208,0.01,100.00
209,0.02,100.00
210,0.01,100.00
211,0.04,61.06
212,0.02,100.00
213,0.02,100.00
214,0.04,61.23
215,0.04,61.06
216,0.04,61.27
217,0.04,60.06
218,0.04,61.20
219,0.04,61.49
220,0.01,100.00
221,0.02,100.00
222,0.04,60.08
223,0.02,100.00
224,0.04,63.87
225,0.02,100.00
226,0.01,100.00
227,0.04,62.99
228,0.01,100.00
229,0.02,100.00
230,0.04,62.44
231,0.02,100.00
232,0.04,65.67
233,0.02,100.00
234,0.02,100.00
235,0.03,100.00
236,0.03,100.00
237,0.03,100.00
238,0.04,60.37
239,0.01,100.00
240,0.04,62.42
241,0.03,100.00
242,0.01,100.00
243,0.04,62.28
244,0.01,100.00
245,0.04,59.62
246,0.02,100.00
247,0.01,100.00
248,0.04,65.72
249,0.05,0.00
250,0.03,100.00
251,0.01,100.00
252,0.01,100.00
253,0.03,100.00
254,0.04,64.76
255,0.00,100.00
256,0.02,100.00
257,0.02,100.00
258,0.04,63.08
259,0.02,100.00
260,0.03,100.00
261,0.03,100.00
262,0.08,0.00
263,0.04,63.07
264,0.04,59.73
265,0.04,60.13
266,0.04,63.89
267,0.02,100.00
268,0.02,100.00
269,0.01,100.00
270,0.02,100.00
271,0.05,0.00
272,0.04,63.20
273,0.07,0.00
274,0.09,0.00
275,0.02,100.00
276,0.03,100.00
277,0.03,100.00
278,0.03,100.00
279,0.03,100.00
280,0.05,0.00
281,0.04,60.72
282,0.02,100.00
283,0.04,63.43
284,0.02,100.00
285,0.10,0.00
286,0.04,62.48
287,0.03,100.00
288,0.03,100.00
289,0.02,100.00
290,0.01,100.00
291,0.04,62.00
292,0.02,100.00
293,0.02,100.00
294,0.04,63.70
295,0.04,62.27
296,0.04,62.00
297,0.04,63.39
298,0.01,100.00
299,0.04,64.27
300,0.04,60.85
301,0.02,100.00
302,0.03,100.00
303,0.00,100.00
304,0.03,100.00
305,0.04,61.34
306,0.08,0.00
307,0.04,63.26
308,0.04,61.05
309,0.04,60.76
310,0.04,62.62
311,0.04,63.55
312,0.02,100.00
313,0.03,100.00
314,0.04,61.92
315,0.01,100.00
316,0.03,100.00
317,0.04,61.54
318,0.04,61.11
319,0.04,62.32
320,0.05,0.00
321,0.04,60.30
322,0.03,100.00
323,0.02,100.00
324,0.04,60.16
325,0.04,64.60
326,0.03,100.00
327,0.02,100.00
328,0.04,65.37
329,0.02,100.00
330,0.02,100.00
331,0.05,0.00
332,0.06,0.00
333,0.04,60.86
334,0.01,100.00
335,0.03,100.00
336,0.04,63.23
337,0.02,100.00
338,0.01,100.00
339,0.04,61.11
340,0.04,64.10
341,0.03,100.00
342,0.02,100.00
343,0.01,100.00
344,0.01,100.00
345,0.04,61.05
346,0.02,100.00
347,0.01,100.00
348,0.03,100.00
349,0.19,0.00
350,0.02,100.00
351,0.01,100.00
352,0.04,63.03
353,0.07,0.00
354,0.02,100.00
355,0.06,0.00
356,0.02,100.00
357,0.02,100.00
358,0.04,62.15
359,0.04,61.68
360,0.04,62.01
361,0.03,100.00
362,0.04,64.22
363,0.02,100.00
364,0.05,0.00
365,0.04,60.10
366,0.05,0.00
367,0.04,63.10
368,0.05,0.00
369,0.04,61.70
370,0.04,62.63
371,0.04,60.40
372,0.04,63.38
373,0.04,60.52
374,0.06,0.00
375,0.04,61.48
376,0.05,0.00
377,0.03,100.00
378,0.03,100.00
379,0.05,0.00
380,0.10,0.00
381,0.03,100.00
382,0.02,100.00
383,0.01,100.00
384,0.03,100.00
385,0.02,100.00
386,0.01,100.00
387,0.04,62.90
388,0.16,0.00
389,0.04,61.17
390,0.07,0.00
391,0.04,58.70
392,0.04,63.40
393,0.04,61.49
394,0.03,100.00
395,0.03,100.00
396,0.02,100.00
397,0.02,100.00
398,0.05,0.00
399,0.04,61.68
400,0.04,61.99
401,0.02,100.00
402,0.04,61.93
403,0.02,100.00
404,0.04,63.84
405,0.03,100.00
406,0.03,100.00
407,0.04,62.57
408,0.02,100.00
409,0.05,0.00
410,0.03,100.00
411,0.02,100.00
412,0.01,100.00
413,0.12,0.00
414,0.04,62.21
415,0.04,61.68
416,0.06,0.00
417,0.08,0.00
418,0.04,61.49
419,0.04,62.22
420,0.05,0.00
421,0.01,100.00
422,0.04,66.57
423,0.06,0.00
424,0.04,60.31
425,0.02,100.00
426,0.03,100.00
427,0.02,100.00
428,0.13,0.00
429,0.05,0.00
430,0.02,100.00
431,0.04,61.77
432,0.10,0.00
433,0.03,100.00
434,0.03,100.00
435,0.02,100.00
436,0.04,61.73
437,0.06,0.00
438,0.02,100.00
439,0.02,100.00
440,0.04,65.08
441,0.08,0.00
442,0.04,61.89
443,0.04,63.89
444,0.04,63.05
445,0.04,65.85
446,0.03,100.00
447,0.04,66.75
448,0.04,62.92
449,0.03,100.00
450,0.04,63.03
451,0.04,62.10
452,0.09,0.00
453,0.06,0.00
454,0.03,100.00
455,0.08,0.00
456,0.02,100.00
457,0.05,0.00
458,0.02,100.00
459,0.06,0.00
460,0.11,0.00
461,0.04,59.75
462,0.04,61.55
463,0.04,62.03
464,0.24,0.00
465,0.05,0.00
466,0.04,64.36
467,0.03,100.00
468,0.04,60.29
469,0.04,63.04
470,0.06,0.00
471,0.02,100.00
472,0.08,0.00
473,0.09,0.00
474,0.04,61.79
475,0.08,0.00
476,0.04,61.56
477,0.09,0.00
478,0.06,0.00
479,0.04,61.20
480,0.10,0.00
481,0.04,64.67
482,0.04,66.09
483,0.04,63.18
484,0.01,100.00
485,0.06,0.00
486,0.04,59.83
487,0.05,0.00
488,0.04,60.67
489,0.04,61.67
490,0.08,0.00
491,0.04,63.18
492,0.04,61.21
493,0.08,0.00
494,0.02,100.00
495,0.06,0.00
496,0.04,62.42
497,0.04,65.35
498,0.02,100.00
499,0.04,62.53
500,0.04,62.85
501,0.07,0.00
502,0.04,64.04
503,0.04,59.13
504,0.04,60.00
505,0.02,100.00
506,0.03,100.00
507,0.04,61.02
508,0.16,0.00
509,0.04,59.41
510,0.04,63.00
511,0.03,100.00
512,0.04,65.98
513,0.04,61.86
514,0.15,0.00
515,0.05,0.00
516,0.04,62.56
517,0.03,100.00
518,0.04,61.18
519,0.03,100.00
520,0.04,63.48
521,0.06,0.00
522,0.02,100.00
523,0.04,61.15
524,0.03,100.00
525,0.04,64.03
526,0.09,0.00
527,0.04,66.07
528,0.16,0.00
529,0.07,0.00
530,0.03,100.00
531,0.04,67.72
532,0.04,67.93
533,0.04,60.10
534,0.04,65.10
535,0.15,0.00
536,0.05,0.00
537,0.02,100.00
538,0.04,68.35
539,0.02,100.00
540,0.08,0.00
541,0.04,66.92
542,0.05,0.00
543,0.04,60.16
544,0.04,61.74
545,0.08,0.00
546,0.04,65.38
547,0.09,0.00
548,0.09,0.00
549,0.03,100.00
550,0.03,100.00
551,0.13,0.00
552,0.07,0.00
553,0.02,100.00
554,0.08,0.00
555,0.18,0.00
556,0.04,68.71
557,0.07,0.00
558,0.03,100.00
559,0.05,0.00
560,0.04,68.91
561,0.04,62.02
562,0.03,100.00
563,0.04,69.27
564,0.03,100.00
565,0.07,0.00
566,0.07,0.00
567,0.04,61.91
568,0.06,0.00
569,0.04,60.99
570,0.03,100.00
571,0.04,72.31
572,0.04,66.22
573,0.03,100.00
574,0.04,59.13
575,0.04,66.38
576,0.02,100.00
577,0.07,0.00
578,0.01,100.00
579,0.04,68.08
580,0.02,100.00
581,0.03,100.00
582,0.08,0.00
583,0.30,0.00
584,0.10,0.00
585,0.06,0.00
586,0.12,0.00
587,0.04,64.22
588,0.04,64.67
589,0.09,0.00
590,0.06,0.00
591,0.04,62.57
592,0.04,75.45
593,0.02,100.00
594,0.22,0.00
595,0.02,100.00
596,0.02,100.00
597,0.04,65.27
598,0.04,63.74
599,0.04,65.28
600,0.19,0.00
601,0.11,0.00
602,0.04,62.58
603,0.01,100.00
604,0.05,0.00
605,0.04,67.47
